"Id","Titulo","Precio","Modelo_anyo","Kilometros","Ubicacion","URL","Color","Combustible","Recorrido","Marca","Modelo","Unico","Placa","Anyo","Version","FrenosABS","Aire","Airbag","Asientos","Cilindros","Direccion","Financiamiento","Motor","Negociable","MotorReparado","Sonido","Traccion","Transmision","Vidrios"
105,"Mazda 2 Mazda 2 Takeshi","$ 32.900.000","2014","49.700 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452570153-mazda-2-edicion-especial-takeshi-full-equipo-_JM","Blanco","Gasolina","49700","Mazda","Mazda 2","No","hvy657","2014","Mazda 2 Takeshi","Sí","Sí","Sí","Cuero","4","Asistida","Sí","1500","Sí","No","CD","4x2","Mecánica","Eléctricos"
106,"Mazda 2","$ 28.700.000","2011","88.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452333135-mazda-mazda-2-_JM","Blanco","Gasolina","88000","Mazda","Mazda 2","No","RLQ-398","2011",,"Sí","Sí","Sí","Tela",,"Asistida","No","1500","Sí","No","MP3",,"Mecánica","Eléctricos"
107,"Mazda 2 2013","$ 31.500.000","2013","26.500 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452121537-mazda-mazda-2-2013-_JM","Rojo","Gasolina","26500","Mazda","Mazda 2",,"NCW962","2013",,"Sí","Sí","Sí","Cuero",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
108,"Mazda 2","$ 34.500.000","2013","55.000 Km","Risaralda","http://articulo.tucarro.com.co/MCO-452104998-mazda-mazda-2-_JM","Gris","Gasolina","55000","Mazda","Mazda 2","Sí","NEN-055","2013",,"Sí","Sí","Sí","Cuero",,"Hidráulica","No","1500","Sí",,"MP3",,"Automática","Eléctricos"
109,"Mazda 2 Sd","$ 26.500.000","2011","100.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451040147-mazda-mazda-2-sd-_JM","Rojo","Gasolina","100000","Mazda","Mazda 2","No","RLU-837","2011","SD",,"Sí","Sí","Semi-cuero",,"Hidráulica",,"1500","Sí",,"MP3",,"Mecánica","Eléctricos"
110,"Mazda 2","$ 33.900.000","2014","28.600 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-450629669-mazda-mazda-2-_JM","Plateado","Gasolina","28600","Mazda","Mazda 2","No","HKZ-475","2014",,"Sí","Sí","Sí","Cuero",,"Asistida",,"1500","Sí",,"MP3","4x2","Mecánica","Eléctricos"
111,"Mazda 2 Automatico","$ 31.000.000","2012","68.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-450170735-mazda-mazda-2-automatico-_JM","Negro","Gasolina","68000","Mazda","Mazda 2","No","***-**8","2012","Automatico","Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
112,"Mazda 2 Hb","$ 25.500.000","2009","79.600 Km","Antioquia","http://articulo.tucarro.com.co/MCO-452874748-mazda-mazda-2-hb-_JM","Beige","Gasolina","79600","Mazda","Mazda 2","No","FHB-984","2009","HB","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
113,"Mazda 2 M2 Grand Touring","$ 54.400.000","2017","0 Km","Huila","http://articulo.tucarro.com.co/MCO-422200513-m2-grand-touring-mt-cuero-2017-_JM","Otro","Gasolina","0","Mazda","Mazda 2",,"***","2017","M2 GRAND TOURING","Sí","Sí","Sí","Cuero",,"Asistida","Sí","1500","No",,"MP3",,"Mecánica","Eléctricos"
114,"Mazda 2","$ 25.000.000","2010","62.500 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452303988-mazda-mazda-2-_JM","Verde","Gasolina","62500","Mazda","Mazda 2","No","CWV-870","2010",,"No","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí",,"CD","4x2","Mecánica","Eléctricos"
115,"Mazda 2 Touring At 1500cc","$ 45.000.000","2016","16.800 Km","Atlántico","http://articulo.tucarro.com.co/MCO-452569836-mazda-mazda-2-touring-at-1500cc-_JM","Gris",,"16800","Mazda","Mazda 2","Sí","UUL-498","2016","Touring At 1500CC","Sí","Sí","Sí","Tela","4","Asistida","No","1500","Sí","No","R/Rep.","4x2","Automática","Eléctricos"
116,"Mazda 2 Touring","$ 46.500.000","2017","5.500 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453373006-mazda-mazda-2-touring-_JM","Rojo","Gasolina","5500","Mazda","Mazda 2","Sí","DNL-852","2017","Touring","Sí","Sí","Sí","Cuero","4L","Hidráulica","No","1600","Sí","No","MP3","4x2","Automática","Eléctricos"
